salary_id,employee_id,amount_vnd,currency,pay_frequency,bonus_vnd,effective_from,effective_to
122,122,34223026,VND,Biweekly,1000000,2024-01-01,2024-12-31
123,123,70007669,VND,Weekly,0,2024-01-01,2024-12-31
124,124,58130149,VND,Weekly,1000000,2024-01-01,2024-12-31
125,125,54099955,VND,Biweekly,0,2024-01-01,2024-12-31
126,126,60850461,VND,Weekly,5000000,2024-01-01,2024-12-31
127,127,68959974,VND,Monthly,0,2024-01-01,2024-12-31
128,128,48334925,VND,Monthly,2000000,2024-01-01,2024-12-31
129,129,71489881,VND,Weekly,1000000,2024-01-01,2024-12-31
130,130,40384550,VND,Monthly,0,2024-01-01,2024-12-31
131,131,36845271,VND,Biweekly,1000000,2024-01-01,2024-12-31
132,132,51444946,VND,Biweekly,0,2024-01-01,2024-12-31
133,133,66782427,VND,Weekly,1000000,2024-01-01,2024-12-31
134,134,75450564,VND,Monthly,0,2024-01-01,2024-12-31
135,135,32186759,VND,Weekly,5000000,2024-01-01,2024-12-31
136,136,34148187,VND,Monthly,0,2024-01-01,2024-12-31
137,137,73569568,VND,Biweekly,1000000,2024-01-01,2024-12-31
138,138,79485231,VND,Monthly,1000000,2024-01-01,2024-12-31
139,139,47984135,VND,Weekly,0,2024-01-01,2024-12-31
140,140,68111599,VND,Weekly,1000000,2024-01-01,2024-12-31
141,141,47967745,VND,Biweekly,0,2024-01-01,2024-12-31
142,142,55787684,VND,Monthly,2000000,2024-01-01,2024-12-31
143,143,69592374,VND,Weekly,1000000,2024-01-01,2024-12-31
144,144,60091540,VND,Monthly,2000000,2024-01-01,2024-12-31
145,145,65792756,VND,Weekly,0,2024-01-01,2024-12-31
146,146,58993446,VND,Monthly,0,2024-01-01,2024-12-31
147,147,55838953,VND,Monthly,2000000,2024-01-01,2024-12-31
148,148,35298314,VND,Biweekly,5000000,2024-01-01,2024-12-31
149,149,51540902,VND,Biweekly,0,2024-01-01,2024-12-31
150,150,36874215,VND,Monthly,1000000,2024-01-01,2024-12-31
151,151,67559863,VND,Weekly,2000000,2024-01-01,2024-12-31
152,152,47787547,VND,Biweekly,1000000,2024-01-01,2024-12-31
153,153,40792211,VND,Monthly,5000000,2024-01-01,2024-12-31
154,154,31708139,VND,Weekly,5000000,2024-01-01,2024-12-31
155,155,33380900,VND,Monthly,2000000,2024-01-01,2024-12-31
156,156,46307066,VND,Biweekly,1000000,2024-01-01,2024-12-31
157,157,75415818,VND,Weekly,1000000,2024-01-01,2024-12-31
158,158,34217996,VND,Biweekly,2000000,2024-01-01,2024-12-31
159,159,40786026,VND,Weekly,0,2024-01-01,2024-12-31
160,160,74284268,VND,Biweekly,1000000,2024-01-01,2024-12-31
161,161,41627229,VND,Biweekly,0,2024-01-01,2024-12-31
162,162,79693982,VND,Biweekly,2000000,2024-01-01,2024-12-31
163,163,69490687,VND,Weekly,0,2024-01-01,2024-12-31
164,164,64844532,VND,Weekly,1000000,2024-01-01,2024-12-31
165,165,46020392,VND,Biweekly,1000000,2024-01-01,2024-12-31
166,166,61840260,VND,Biweekly,5000000,2024-01-01,2024-12-31
167,167,38835098,VND,Weekly,0,2024-01-01,2024-12-31
168,168,70650577,VND,Monthly,1000000,2024-01-01,2024-12-31
169,169,43597574,VND,Weekly,5000000,2024-01-01,2024-12-31
170,170,72738851,VND,Monthly,5000000,2024-01-01,2024-12-31
171,171,40717417,VND,Weekly,2000000,2024-01-01,2024-12-31
172,172,76683187,VND,Weekly,0,2024-01-01,2024-12-31
173,173,60059620,VND,Weekly,2000000,2024-01-01,2024-12-31
174,174,60138726,VND,Monthly,0,2024-01-01,2024-12-31
175,175,47114855,VND,Monthly,1000000,2024-01-01,2024-12-31
176,176,47866869,VND,Monthly,1000000,2024-01-01,2024-12-31
177,177,30921326,VND,Biweekly,0,2024-01-01,2024-12-31
178,178,77552857,VND,Weekly,2000000,2024-01-01,2024-12-31
179,179,75071496,VND,Monthly,2000000,2024-01-01,2024-12-31
180,180,38183613,VND,Monthly,0,2024-01-01,2024-12-31
181,181,74509045,VND,Biweekly,0,2024-01-01,2024-12-31
182,182,49852364,VND,Monthly,1000000,2024-01-01,2024-12-31
183,183,47647353,VND,Monthly,5000000,2024-01-01,2024-12-31
184,184,72514590,VND,Biweekly,2000000,2024-01-01,2024-12-31
185,185,59777364,VND,Biweekly,5000000,2024-01-01,2024-12-31
186,186,61000548,VND,Biweekly,2000000,2024-01-01,2024-12-31
187,187,52558881,VND,Weekly,1000000,2024-01-01,2024-12-31
188,188,77787312,VND,Biweekly,5000000,2024-01-01,2024-12-31
189,189,70786332,VND,Monthly,0,2024-01-01,2024-12-31
190,190,76957912,VND,Monthly,5000000,2024-01-01,2024-12-31
191,191,55030056,VND,Monthly,5000000,2024-01-01,2024-12-31
192,192,49549199,VND,Monthly,0,2024-01-01,2024-12-31
193,193,53861746,VND,Weekly,1000000,2024-01-01,2024-12-31
194,194,78730153,VND,Biweekly,2000000,2024-01-01,2024-12-31
195,195,42263855,VND,Biweekly,1000000,2024-01-01,2024-12-31
196,196,41879455,VND,Biweekly,0,2024-01-01,2024-12-31
197,197,60653770,VND,Weekly,0,2024-01-01,2024-12-31
198,198,30478709,VND,Biweekly,0,2024-01-01,2024-12-31
199,199,64323515,VND,Biweekly,0,2024-01-01,2024-12-31
200,200,43446543,VND,Weekly,0,2024-01-01,2024-12-31
